Governorate,Population,Population (1996) (People),Colour
Dakahlia,6492381,4223338,#66a61e
Red Sea,359888,157314,#7570b3
Beheira,6171613,3994297,#e6ab02
Fayoum,3596954,1989772,#d95f02
Gharbia,4999633,3404339,#7570b3
Alexandria,5163750,3339076,#1b9e77
Ismailia,1303993,714828,#7570b3
Giza,8632021,4784095,#1b9e77
Monufia,4301601,2760429,#66a61e
Minya,5497095,3310129,#e6ab02
Cairo,9539673,6800991,#7570b3
Qalyubia,5627420,3281135,#d95f02
Luxor,1250209,775551,#7570b3
New Valley,241247,141774,#e7298a
Suez,728180,417526,#d95f02
Sharqia,7163824,4281068,#1b9e77
Assuan,1473975,960510,#d95f02
Asyut,4383289,2802334,#1b9e77
Beni Suef,3154100,1859213,#e7298a
Port Said,749371,472331,#e7298a
Damietta,1496765,913555,#e6ab02
South Sinai,102018,54806,#66a61e
Kafr el-Sheikh,3362185,2223383,#e7298a
Matrouh,425624,212001,#d95f02
Qena,3164281,2027603,#66a61e
North Sinai,450328,252160,#1b9e77
Sohag,4967409,3123114,#e6ab02
