Province,Population,GDP (Billion $),Colour
Aceh,4486570,36.4,#e7298a
Bali,3891428,54.7,#e7298a
Bangka Belitung,1223048,17,#7570b3
Banten,10644030,143.4,#d95f02
Bengkulu,1713393,15.5,#1b9e77
Gorontalo,50380687,8.8,#e7298a
Jakarta Raya,2202599,606.1,#e6ab02
Jambi,2633420,48.6,#d95f02
Jawa Barat,37476011,457.6,#7570b3
Jawa Tengah,3550586,295.9,#d95f02
Jawa Timur,4679316,510.7,#e6ab02
Kalimantan Barat,1038585,45.3,#66a61e
Kalimantan Selatan,9588198,40.1,#d95f02
Kalimantan Tengah,3088618,32.4,#1b9e77
Kalimantan Timur,7596115,148.8,#e6ab02
Kepulauan Riau,1531402,58.1,#d95f02
Lampung,1035478,77.8,#7570b3
Maluku,2265937,10,#7570b3
Maluku Utara,12985075,8.5,#e6ab02
Nusa Tenggara Barat,2851999,28.9,#66a61e
Nusa Tenggara Timur,5543031,23.1,#1b9e77
Papua,1685698,49.1,#66a61e
Papua Barat,3626119,18.6,#e7298a
Riau,8032551,176.1,#e6ab02
Sulawesi Barat,7446401,10.1,#1b9e77
Sulawesi Selatan,2230569,107.8,#66a61e
Sulawesi Tengah,43021826,35.1,#7570b3
Sulawesi Tenggara,4393239,27.5,#1b9e77
Sulawesi Utara,4496855,27.9,#d95f02
Sumatera Barat,760855,53.8,#e7298a
Sumatera Selatan,1158336,97.9,#e7298a
Sumatera Utara,4845998,20.1,#66a61e
Yogyakarta,3452390,30.3,#1b9e77
