State/Region,Population,Population (1983) (People),Colour
Ayeyarwady,6272913,4994061,#e7298a
Bago,4934428,3799791,#1b9e77
Chin,516752,368949,#1b9e77
Kachin,1881362,904794,#66a61e
Kayah,320216,168429,#d95f02
Kayin,1605697,1055359,#66a61e
Magway,3937278,3243166,#e7298a
Mandalay,6477740,4577762,#d95f02
Mon,1995068,1680157,#7570b3
Naypyitaw,1269188,NA,#7570b3
Rakhine,3325116,2045559,#d95f02
Sagaing,5550389,3862172,#7570b3
Shan,6332188,3716841,#e6ab02
Tanintharyi,1479086,917247,#e7298a
Yangon,8203832,3965916,#e6ab02
