Province,Population,GDP,Colour
Drenthe,492167,16359307056,#d95f02
Flevoland,416546,14960188368,#e6ab02
Friesland,647672,21663121248,#1b9e77
Gelderland,2071972,84071227896,#e7298a
Groningen,583990,26950533336,#e7298a
Limburg,1116137,48093874056,#e6ab02
Noord-Brabant,2544806,123704736192,#66a61e
Noord-Holland,2853359,179430098904,#7570b3
Overijssel,1156431,46553444064,#7570b3
Utrecht,1342158,76020892128,#1b9e77
Zeeland,383032,14799954168,#1b9e77
Zuid-Holland,3673839,177984294696,#d95f02
