Province/Region,Population,Population (1990) (People),Colour
Abra,241160,184743,#1b9e77
Agusan del Norte,691566,465458,#1b9e77
Agusan del Sur,700653,420763,#e7298a
Aklan,574823,380497,#d95f02
Albay,1314826,903785,#d95f02
Antique,582012,406361,#e7298a
Apayao,119184,74720,#e6ab02
Aurora,214336,139573,#e7298a
Basilan,346579,179230,#d95f02
Bataan,760650,425803,#1b9e77
Batanes,17246,15026,#e7298a
Batangas,2694335,1476783,#7570b3
Benguet,791590,485857,#7570b3
Biliran,171612,118012,#66a61e
Bohol,1313560,948403,#1b9e77
Bukidnon,1415226,843891,#7570b3
Bulacan,3292071,1505219,#66a61e
Cagayan,1199320,829867,#1b9e77
Camarines Norte,583313,390982,#e7298a
Camarines Sur,1952544,1305919,#7570b3
Camiguin,88478,64247,#e7298a
Capiz,761384,584091,#e6ab02
Catanduanes,260964,187000,#e7298a
Cavite,3678301,1152534,#e7298a
Cebu,4632359,2646517,#e6ab02
Compostela Valley,736107,466286,#d95f02
Davao del Norte,1016332,590015,#e6ab02
Davao del Sur,2265579,1482745,#1b9e77
Davao Occidental,NA,NA,#d95f02
Davao Oriental,558958,394697,#e6ab02
Dinagat Islands,127152,98865,#e6ab02
Eastern Samar,467160,329335,#e7298a
Guimaras,174613,117990,#7570b3
Ifugao,202802,147281,#d95f02
Ilocos Norte,593081,461661,#66a61e
Ilocos Sur,689668,519966,#d95f02
Iloilo,2384415,1647486,#66a61e
Isabela,1593566,1080341,#7570b3
Kalinga,212680,137055,#e7298a
La Union,786653,548742,#1b9e77
Laguna,3035081,1370232,#66a61e
Lanao del Norte,1019013,614092,#1b9e77
Lanao del Sur,1045429,599982,#e6ab02
Leyte,1966768,1367816,#d95f02
Maguindanao,1473371,757739,#1b9e77
Marinduque,234521,185524,#e7298a
Masbate,892393,599355,#1b9e77
Metropolitan Manila,12877253,7948392,#7570b3
Misamis Occidental,602126,424365,#e6ab02
Misamis Oriental,1564459,865051,#d95f02
Mountain Province,154590,116535,#e6ab02
Negros Occidental,3059136,2256908,#e7298a
Negros Oriental,1354995,925272,#66a61e
North Cotabato,1379747,763995,#66a61e
Northern Samar,632379,383654,#7570b3
Nueva Ecija,2151461,1312680,#e6ab02
Nueva Vizcaya,452287,301179,#1b9e77
Occidental Mindoro,487414,282593,#e6ab02
Oriental Mindoro,844059,550049,#1b9e77
Palawan,1104585,528287,#d95f02
Pampanga,2609744,1532615,#d95f02
Pangasinan,2956726,2020273,#d95f02
Quezon,2122830,1372455,#d95f02
Quirino,188991,114132,#66a61e
Rizal,2884227,977448,#e6ab02
Romblon,292781,227621,#7570b3
Samar,780481,533733,#e6ab02
Sarangani,544261,283141,#66a61e
Siquijor,95984,73932,#7570b3
Sorsogon,792949,522960,#e6ab02
South Cotabato,1509735,789847,#e7298a
Southern Leyte,421750,321940,#66a61e
Sultan Kudarat,812095,435905,#7570b3
Sulu,824731,469971,#66a61e
Surigao del Norte,485088,327113,#7570b3
Surigao del Sur,592250,452098,#66a61e
Tarlac,1366027,859708,#e7298a
Tawi-Tawi,390715,228204,#d95f02
Zambales,823888,562992,#7570b3
Zamboanga del Norte,1011393,676862,#66a61e
Zamboanga del Sur,1872473,1138086,#e7298a
Zamboanga Sibugay,633129,407038,#1b9e77
