Planning Area,Population,Population (2015) (People),Colour
Ang Mo Kio,163950,174770,#a6761d
Bedok,279380,289750,#66a61e
Bishan,88010,90700,#7570b3
Boon Lay,40,30,#e6ab02
Bukit Batok,153740,139270,#1b9e77
Bukit Merah,151980,155840,#d95f02
Bukit Panjang,139280,139030,#e6ab02
Bukit Timah,77430,74470,#7570b3
Central Water Catchment,NA,0,#d95f02
Changi,1830,2530,#e6ab02
Changi Bay,NA,0,#66a61e
Choa Chu Kang,190890,174330,#d95f02
Clementi,92420,91630,#66a61e
Downtown Core,2720,3720,#1b9e77
Geylang,110200,116960,#e6ab02
Hougang,226240,222310,#e7298a
Jurong East,79240,84980,#d95f02
Jurong West,264860,272660,#7570b3
Kallang,101520,101210,#e7298a
Lim Chu Kang,110,90,#a6761d
Mandai,2090,2120,#7570b3
Marina East,NA,0,#66a61e
Marina South,NA,0,#e7298a
Marine Parade,46390,48730,#a6761d
Museum,450,380,#66a61e
Newton,8030,6920,#e6ab02
North-eastern Islands,50,60,#e6ab02
Novena,49210,47990,#1b9e77
Orchard,920,920,#7570b3
Outram,18960,22080,#66a61e
Pasir Ris,148020,139890,#1b9e77
Paya Lebar,40,40,#a6761d
Pioneer,80,100,#e7298a
Punggol,170560,109750,#d95f02
Queenstown,96340,98050,#1b9e77
River Valley,10250,9190,#e6ab02
Rochor,13340,14590,#d95f02
Seletar,280,270,#1b9e77
Sembawang,95920,76530,#e7298a
Sengkang,244600,206680,#7570b3
Serangoon,116310,120670,#66a61e
Simpang,NA,0,#1b9e77
Singapore River,3070,2720,#a6761d
Southern Islands,1880,1480,#7570b3
Straits View,NA,0,#7570b3
Sungei Kadut,780,850,#e7298a
Tampines,256730,261230,#d95f02
Tanglin,21630,19000,#66a61e
Tengah,10,10,#e7298a
Toa Payoh,120650,124940,#a6761d
Tuas,80,70,#d95f02
Western Islands,10,0,#e7298a
Western Water Catchment,690,900,#1b9e77
Woodlands,254730,250290,#a6761d
Yishun,220320,201970,#e6ab02
