Country,Population,GDP,Colour
Afghanistan,34124811,20682000000,#7570b3
Aland,27153,NA,#d95f02
Albania,3047987,17210000000,#1b9e77
Algeria,40969443,1.93056E+11,#1b9e77
American Samoa,51504,NA,#e6ab02
Andorra,85702,2858406626,#1b9e77
Angola,29310273,96426000000,#d95f02
Anguilla,17087,337520470,#e6ab02
Antarctica,4050,NA,#66a61e
Antigua and Barb.,94731,NA,#e7298a
Argentina,44293293,5.15353E+11,#e7298a
Armenia,3045191,13868000000,#7570b3
Aruba,115120,2952000000,#e7298a
Australia,23232413,1.48146E+12,#e6ab02
Austria,8754413,4.81678E+11,#66a61e
Azerbaijan,9961396,47429000000,#1b9e77
Bahamas,329988,13710000000,#e7298a
Bahrain,1410942,40707000000,#e6ab02
Bangladesh,157826578,3.43279E+11,#66a61e
Barbados,292336,5339000000,#d95f02
Belarus,9549747,63664000000,#1b9e77
Belgium,11491346,5.53781E+11,#66a61e
Belize,360346,2071000000,#7570b3
Benin,11038805,12129000000,#1b9e77
Bermuda,70864,6127341000,#66a61e
Bhutan,758288,2939000000,#e7298a
Bolivia,11138234,47052000000,#e6ab02
Bosnia and Herz.,3856181,NA,#66a61e
Botswana,2214858,20873000000,#e6ab02
Br. Indian Ocean Ter.,4000,NA,#7570b3
Brazil,207353391,2.0625E+12,#7570b3
British Virgin Is.,35015,971237110,#e7298a
Brunei,443593,14281000000,#66a61e
Bulgaria,7101510,71746000000,#e6ab02
Burkina Faso,20107509,16266000000,#e6ab02
Burundi,11466756,3714000000,#e7298a
Cabo Verde,560899,2208000000,#66a61e
Cambodia,16204486,29309000000,#66a61e
Cameroon,24994885,42047000000,#7570b3
Canada,35623680,1.83249E+12,#7570b3
Cayman Is.,58441,3844080626,#1b9e77
Central African Rep.,5625118,2485000000,#66a61e
Chad,12075985,12547000000,#1b9e77
Chile,17789267,3.13561E+11,#d95f02
China,1379302771,1.54681E+13,#1b9e77
Colombia,47698524,3.5281E+11,#d95f02
Comoros,808080,773000000,#d95f02
Congo,4954674,11367000000,#e7298a
Cook Is.,9290,290194195,#1b9e77
Costa Rica,4930258,63460000000,#e7298a
Cote d'Ivoire,24184810,49882000000,#d95f02
Croatia,4292095,64590000000,#1b9e77
Cuba,11154407,89688700000,#d95f02
Curacao,149648,3121449966,#66a61e
Cyprus,1247249,26348000000,#e7298a
Czechia,10674723,2.59736E+11,#7570b3
Dem. Rep. Congo,83301151,52475000000,#e6ab02
Denmark,5605948,3.64546E+11,#d95f02
Djibouti,865267,2599000000,#e6ab02
Dominica,73897,590000000,#66a61e
Dominican Rep.,10734247,90459000000,#7570b3
Ecuador,16290913,1.0773E+11,#e7298a
Egypt,97041072,3.3136E+11,#e7298a
El Salvador,6172011,28202000000,#d95f02
Eq. Guinea,778358,12263000000,#d95f02
Eritrea,5918919,8116000000,#7570b3
Estonia,1251581,33235000000,#66a61e
eSwatini,1467152,NA,#7570b3
Ethiopia,105350020,99371000000,#1b9e77
Faeroe Is.,50730,NA,#e7298a
Falkland Is.,2931,NA,#e6ab02
Fiji,920938,5671000000,#e6ab02
Finland,5491218,2.89243E+11,#e6ab02
Fr. Polynesia,287881,5417934152,#e6ab02
Fr. S. Antarctic Lands,140,NA,#e7298a
France,67106161,2.87605E+12,#d95f02
Gabon,1772255,17893000000,#1b9e77
Gambia,2051363,1870000000,#e6ab02
Georgia,4926330,18888000000,#e7298a
Germany,80594017,4.15712E+12,#e7298a
Ghana,27499924,72264000000,#e7298a
Gibraltar,29396,NA,#e7298a
Greece,10768477,2.305E+11,#d95f02
Greenland,57713,2282927882,#66a61e
Grenada,111724,1330000000,#e7298a
Guam,167358,NA,#1b9e77
Guatemala,15460732,87629000000,#e7298a
Guernsey,66502,NA,#1b9e77
Guinea,12413867,13603000000,#66a61e
Guinea-Bissau,1792338,1669000000,#e7298a
Guyana,737718,4609000000,#1b9e77
Haiti,10646714,9648000000,#e6ab02
Heard I. and McDonald Is.,0,NA,#d95f02
Honduras,9038741,25560000000,#66a61e
Hong Kong,7191503,4.02034E+11,#7570b3
Hungary,9850845,1.77734E+11,#e7298a
Iceland,339747,26821000000,#d95f02
India,1281935911,3.25772E+12,#d95f02
Indonesia,260580739,1.20886E+12,#66a61e
Iran,82021564,4.95694E+11,#d95f02
Iraq,39192111,2.46932E+11,#e7298a
Ireland,5011102,4.05185E+11,#e6ab02
Isle of Man,88815,NA,#1b9e77
Israel,8299706,4.03961E+11,#1b9e77
Italy,62137802,2.09045E+12,#e6ab02
Jamaica,2990561,16717000000,#e7298a
Japan,126451398,5.49542E+12,#66a61e
Jersey,98840,NA,#1b9e77
Jordan,10248069,46451000000,#7570b3
Kazakhstan,18626698,1.77322E+11,#e7298a
Kenya,47615739,1.09116E+11,#e7298a
Kiribati,108145,196000000,#d95f02
Kosovo,1895250,NA,#e7298a
Kuwait,2875422,1.42999E+11,#66a61e
Kyrgyzstan,5789122,8781000000,#e6ab02
Laos,7126706,22013000000,#7570b3
Latvia,1944643,38102000000,#7570b3
Lebanon,6229794,60620000000,#e7298a
Lesotho,1958042,2892000000,#e7298a
Liberia,4689021,3217000000,#e6ab02
Libya,6653210,50424000000,#66a61e
Liechtenstein,38244,6193677543,#7570b3
Lithuania,2823859,57602000000,#e7298a
Luxembourg,594130,73693000000,#e6ab02
Macao,601969,62158000000,#e6ab02
Macedonia,2103721,13700000000,#66a61e
Madagascar,25054161,13542000000,#7570b3
Malawi,19196246,7861000000,#d95f02
Malaysia,31381992,4.01985E+11,#e6ab02
Maldives,392709,6213000000,#d95f02
Mali,17885245,19332000000,#e7298a
Malta,416338,16338000000,#d95f02
Marshall Is.,74539,228000000,#7570b3
Mauritania,3758571,5697000000,#7570b3
Mauritius,1356388,15757000000,#d95f02
Mexico,124574795,1.29775E+12,#e6ab02
Micronesia,104196,389000000,#d95f02
Moldova,3474121,12793000000,#e7298a
Monaco,30645,6468000877,#66a61e
Mongolia,3068243,14960000000,#e6ab02
Montenegro,642550,5740000000,#7570b3
Montserrat,5292,62051375,#e6ab02
Morocco,33986655,1.29056E+11,#66a61e
Mozambique,26573706,16294000000,#e6ab02
Myanmar,55123814,71403000000,#e6ab02
N. Cyprus,265100,NA,#d95f02
N. Mariana Is.,52263,NA,#66a61e
Namibia,2484780,14627000000,#e7298a
Nauru,9642,117000000,#d95f02
Nepal,29384297,33035000000,#7570b3
Netherlands,17084719,9.54931E+11,#7570b3
New Caledonia,279070,9445714851,#66a61e
New Zealand,4510327,2.24943E+11,#e7298a
Nicaragua,6025951,12459000000,#e6ab02
Niger,19245344,10628000000,#d95f02
Nigeria,190632261,4.96122E+11,#e7298a
Niue,1626,NA,#7570b3
Norfolk Island,2210,NA,#7570b3
North Korea,25248140,16788601831,#e7298a
Norway,5320045,4.38623E+11,#e7298a
Oman,3424386,84158000000,#e6ab02
Pakistan,204924861,2.82506E+11,#e6ab02
Palau,21431,324000000,#66a61e
Palestine,4543126,13397100000,#d95f02
Panama,3753142,75494000000,#1b9e77
Papua New Guinea,6909701,22114000000,#1b9e77
Paraguay,6943739,45376000000,#66a61e
Peru,31036656,2.44163E+11,#1b9e77
Philippines,104256076,3.89048E+11,#e7298a
Pitcairn Is.,54,NA,#e7298a
Poland,38476269,6.43274E+11,#d95f02
Portugal,10839514,2.49912E+11,#d95f02
Puerto Rico,3351827,1.04117E+11,#d95f02
Qatar,2314307,2.04008E+11,#e7298a
Romania,21529967,2.63133E+11,#7570b3
Russia,142257519,1.66746E+12,#d95f02
Rwanda,11901484,11062000000,#66a61e
S. Geo. and the Is.,30,NA,#e6ab02
S. Sudan,13026129,2796000000,#d95f02
Saint Helena,7828,NA,#d95f02
Saint Lucia,164994,2069000000,#1b9e77
Samoa,200108,960000000,#d95f02
San Marino,33537,1672000000,#7570b3
Sao Tome and Principe,201025,527000000,#e6ab02
Saudi Arabia,28571770,7.90062E+11,#1b9e77
Senegal,14668522,28062000000,#d95f02
Serbia,7111024,56886000000,#d95f02
Seychelles,93920,1739000000,#e7298a
Siachen Glacier,6000,NA,#aaaaaa
Sierra Leone,6163195,4221000000,#1b9e77
Singapore,5888926,3.91875E+11,#e7298a
Sint Maarten,42083,1072067039,#66a61e
Slovakia,5445829,1.17399E+11,#e6ab02
Slovenia,1972126,58213000000,#d95f02
Solomon Is.,647581,1607000000,#d95f02
Somalia,7531386,8341000000,#d95f02
Somaliland,3500000,NA,#66a61e
South Africa,54841552,3.86727E+11,#66a61e
South Korea,51181299,1.74436E+12,#7570b3
Spain,48958159,1.49708E+12,#e6ab02
Sri Lanka,22409381,89942000000,#1b9e77
St-Barthelemy,7184,NA,#7570b3
St-Martin,32125,NA,#e7298a
St. Kitts and Nevis,52715,1118000000,#d95f02
St. Pierre and Miquelon,5533,NA,#7570b3
St. Vin. and Gren.,102089,903000000,#7570b3
Sudan,37345935,82887395895,#e6ab02
Suriname,591919,3919000000,#e7298a
Sweden,9960487,5.7672E+11,#1b9e77
Switzerland,8236303,7.40702E+11,#1b9e77
Syria,18028549,22163075121,#e6ab02
Taiwan,23508428,6.33695E+11,#d95f02
Tajikistan,8468555,7838000000,#66a61e
Tanzania,53950935,64888000000,#1b9e77
Thailand,68414135,5.47431E+11,#e7298a
Timor-Leste,1291358,3413000000,#e7298a
Togo,7965055,6132000000,#7570b3
Tonga,106479,512000000,#66a61e
Trinidad and Tobago,1218208,23235000000,#d95f02
Tunisia,11403800,35150000000,#7570b3
Turkey,80845215,8.09555E+11,#66a61e
Turkmenistan,5351277,57059000000,#66a61e
Turks and Caicos Is.,52570,917550492,#e7298a
Tuvalu,11052,NA,#e7298a
U.S. Minor Outlying Is.,300,NA,#66a61e
U.S. Virgin Is.,107268,NA,#7570b3
Uganda,39570125,33620000000,#7570b3
Ukraine,44033874,1.4717E+11,#66a61e
United Arab Emirates,6072475,4.4913E+11,#7570b3
United Kingdom,64769452,2.92708E+12,#1b9e77
United States of America,326625791,2.21981E+13,#1b9e77
Uruguay,3360148,63421000000,#1b9e77
Uzbekistan,29748859,55482000000,#d95f02
Vanuatu,282814,994000000,#e7298a
Vatican,1000,NA,#66a61e
Venezuela,31304016,70106000000,#e6ab02
Vietnam,96160163,2.82372E+11,#e6ab02
W. Sahara,603253,NA,#e6ab02
Wallis and Futuna Is.,15714,NA,#1b9e77
Yemen,28036829,31385000000,#e7298a
Zambia,15972000,25272000000,#7570b3
Zimbabwe,13805084,25812000000,#1b9e77
